level,area,mean,lower,upper
0,Kenya,59254962.7385476,59254962.7385476,59254962.7385476
1,Coast,5379926.9637489,5379926.9637489,5379926.9637489
2,Mombasa,1505451.49826181,1505451.49826181,1505451.49826181
2,Kwale,1077079.60181323,1077079.60181323,1077079.60181323
2,Kilifi,1803351.59198949,1803351.59198949,1803351.59198949
2,Tana River,391565.025280516,391565.025280516,391565.025280516
2,Lamu,178883.861763601,178883.861763601,178883.861763601
2,Taita-taveta,423595.384640263,423595.384640263,423595.384640263
1,North Eastern,3309766.1600126,3309766.1600126,3309766.1600126
2,Garissa,1348656.53500737,1348656.53500737,1348656.53500737
2,Wajir,924381.271773053,924381.271773053,924381.271773053
2,Mandera,1036728.35323218,1036728.35323218,1036728.35323218
1,Eastern,8196633.0117449,8196633.0117449,8196633.0117449
2,Marsabit,549812.322759602,549812.322759602,549812.322759602
2,Isiolo,311521.811793306,311521.811793306,311521.811793306
2,Meru,1873909.04379857,1873909.04379857,1873909.04379857
2,Tharaka-nithi,472991.023710708,472991.023710708,472991.023710708
2,Embu,738373.950980814,738373.950980814,738373.950980814
2,Kitui,1350408.80479833,1350408.80479833,1350408.80479833
2,Machakos,1728749.73829694,1728749.73829694,1728749.73829694
2,Makueni,1170866.31560664,1170866.31560664,1170866.31560664
1,Central,6558010.65114167,6558010.65114167,6558010.65114167
2,Nyandarua,779314.280498541,779314.280498541,779314.280498541
2,Nyeri,779348.88251367,779348.88251367,779348.88251367
2,Kirinyaga,750497.620042983,750497.620042983,750497.620042983
2,Murang'a,1299005.20053082,1299005.20053082,1299005.20053082
2,Kiambu,2949844.66755565,2949844.66755565,2949844.66755565
1,Rift Valley,16202412.095044,16202412.095044,16202412.095044
2,Turkana,1184767.94659573,1184767.94659573,1184767.94659573
2,West Pokot,796478.385808221,796478.385808221,796478.385808221
2,Samburu,393386.448114208,393386.448114208,393386.448114208
2,Trans-nzoia,1249912.86439382,1249912.86439382,1249912.86439382
2,Uasin Gishu,1483468.36584683,1483468.36584683,1483468.36584683
2,Elgeyo-marakwet,575057.814473157,575057.814473157,575057.814473157
2,Nandi,1112234.44204341,1112234.44204341,1112234.44204341
2,Baringo,840356.529891686,840356.529891686,840356.529891686
2,Laikipia,662509.295403112,662509.295403112,662509.295403112
2,Nakuru,2758879.11197867,2758879.11197867,2758879.11197867
2,Narok,1468517.52984473,1468517.52984473,1468517.52984473
2,Kajiado,1435509.27678026,1435509.27678026,1435509.27678026
2,Kericho,1141956.82686489,1141956.82686489,1141956.82686489
2,Bomet,1099377.2570053,1099377.2570053,1099377.2570053
1,Western,6302824.76651854,6302824.76651854,6302824.76651854
2,Kakamega,2340144.07613047,2340144.07613047,2340144.07613047
2,Vihiga,724512.551270974,724512.551270974,724512.551270974
2,Bungoma,2114236.53070372,2114236.53070372,2114236.53070372
2,Busia,1123931.60841337,1123931.60841337,1123931.60841337
1,Nyanza,8049997.57843197,8049997.57843197,8049997.57843197
2,Siaya,1262104.18939569,1262104.18939569,1262104.18939569
2,Kisumu,1509390.87020076,1509390.87020076,1509390.87020076
2,Homa Bay,1440851.92388169,1440851.92388169,1440851.92388169
2,Migori,1438567.71454153,1438567.71454153,1438567.71454153
2,Kisii,1622859.31620356,1622859.31620356,1622859.31620356
2,Nyamira,776223.564208733,776223.564208733,776223.564208733
1,Nairobi,5255391.51190495,5255391.51190495,5255391.51190495
2,Nairobi (county),5255391.51190495,5255391.51190495,5255391.51190495
